in,out,round2
0.01,0.008785247802734375,0.01
0.02,0.018428802490234375,0.02
0.03,0.0276031494140625,0.03
0.04,0.036952972412109375,0.04
0.05,0.04610443115234375,0.05
0.06999999999999999,0.06455230712890625,0.06
0.08,0.07378005981445312,0.07
0.09,0.08316802978515625,0.08
0.09999999999999999,0.0928192138671875,0.09
0.11,0.10210418701171875,0.1
0.12,0.11135101318359375,0.11
0.13,0.1204986572265625,0.12
0.14,0.1295928955078125,0.13
0.15000000000000002,0.13898849487304688,0.14
0.16,0.14812469482421875,0.15
0.17,0.15739822387695312,0.16
0.18000000000000002,0.16677093505859375,0.17
0.19,0.175811767578125,0.18
0.21000000000000002,0.19415664672851562,0.19
0.22,0.20410537719726562,0.2
0.23,0.21320343017578125,0.21
0.24000000000000002,0.22247314453125,0.22
0.25,0.231842041015625,0.23
0.26,0.24093246459960938,0.24
0.27,0.250030517578125,0.25
0.28,0.25926971435546875,0.26
0.29000000000000004,0.26874542236328125,0.27
0.3,0.27796173095703125,0.28
0.31,0.2869110107421875,0.29
0.32,0.29604339599609375,0.3
0.33,0.305419921875,0.31
0.35000000000000003,0.3245964050292969,0.32
0.36000000000000004,0.333648681640625,0.33
0.37,0.342926025390625,0.34
0.38,0.35198974609375,0.35
0.39,0.361328125,0.36
0.4,0.3705291748046875,0.37
0.41000000000000003,0.3798179626464844,0.38
0.42000000000000004,0.3890380859375,0.39
0.43,0.39829254150390625,0.4
0.44,0.40737152099609375,0.41
0.45,0.4165382385253906,0.42
0.46,0.4268302917480469,0.43
0.47000000000000003,0.4355621337890625,0.44
0.49,0.45395660400390625,0.45
0.5,0.4634819030761719,0.46
0.51,0.47272491455078125,0.47
0.52,0.4815826416015625,0.48
0.53,0.49121856689453125,0.49
0.54,0.5002174377441406,0.5
0.55,0.509429931640625,0.51
0.56,0.5184555053710938,0.52
0.5700000000000001,0.5271224975585938,0.53
0.5800000000000001,0.5372085571289062,0.54
0.59,0.5465164184570312,0.55
0.6,0.555999755859375,0.56
0.62,0.5741500854492188,0.57
0.63,0.5835494995117188,0.58
0.64,0.5928802490234375,0.59
0.65,0.6021499633789062,0.6
0.66,0.6111907958984375,0.61
0.67,0.6204376220703125,0.62
0.68,0.6297378540039062,0.63
0.6900000000000001,0.6389732360839844,0.64
0.7000000000000001,0.6479110717773438,0.65
0.7100000000000001,0.6584243774414062,0.66
0.72,0.6674308776855469,0.67
0.73,0.6768951416015625,0.68
0.74,0.6855392456054688,0.69
0.76,0.7041702270507812,0.7
0.77,0.7134552001953125,0.71
0.78,0.7221298217773438,0.72
0.79,0.7310943603515625,0.73
0.8,0.7394218444824219,0.74
0.81,0.747955322265625,0.75
0.8200000000000001,0.7564468383789062,0.76
0.8400000000000001,0.7738418579101562,0.77
0.85,0.7820320129394531,0.78
0.86,0.789764404296875,0.79
0.87,0.7980499267578125,0.8
0.89,0.8119735717773438,0.81
0.9,0.8198623657226562,0.82
0.91,0.826263427734375,0.83
0.93,0.8397254943847656,0.84
0.9400000000000001,0.845977783203125,0.85
0.9600000000000001,0.8591499328613281,0.86
0.98,0.8710060119628906,0.87
1.0,0.8807830810546875,0.88
1.01,0.8895339965820312,0.89
1.04,0.9021263122558594,0.9
1.06,0.911376953125,0.91
1.08,0.9206390380859375,0.92
1.11,0.9291343688964844,0.93
1.1500000000000001,0.9406318664550781,0.94
1.18,0.94927978515625,0.95
1.23,0.9606704711914062,0.96
1.28,0.9699249267578125,0.97
1.35,0.9785881042480469,0.98
1.49,0.9900283813476562,0.99
