in,out,round2
0.01,0.009151458740234375,0.01
0.02,0.01822662353515625,0.02
0.03,0.0275115966796875,0.03
0.04,0.036746978759765625,0.04
0.05,0.04579925537109375,0.05
0.06999999999999999,0.06415176391601562,0.06
0.08,0.073211669921875,0.07
0.09,0.08213043212890625,0.08
0.09999999999999999,0.09057998657226562,0.09
0.11,0.09932327270507812,0.1
0.12,0.10770416259765625,0.11
0.13,0.11639404296875,0.12
0.15000000000000002,0.13284683227539062,0.13
0.16,0.14107131958007812,0.14
0.17,0.14815902709960938,0.15
0.19,0.16066360473632812,0.16
0.2,0.16683197021484375,0.17
0.22,0.18002700805664062,0.18
0.23,0.18802261352539062,0.19
0.25,0.20183944702148438,0.2
0.26,0.2073516845703125,0.21
0.28,0.21929550170898438,0.22
0.3,0.2333984375,0.23
0.31,0.24039077758789062,0.24
0.33,0.2526283264160156,0.25
0.34,0.2581939697265625,0.26
0.36000000000000004,0.270294189453125,0.27
0.37,0.2773780822753906,0.28
0.39,0.2906837463378906,0.29
0.41000000000000003,0.3017234802246094,0.3
0.43,0.3130989074707031,0.31
0.44,0.3194313049316406,0.32
0.46,0.333160400390625,0.33
0.47000000000000003,0.3385772705078125,0.34
0.49,0.3484611511230469,0.35
0.51,0.36053466796875,0.36
0.52,0.36737060546875,0.37
0.54,0.3792228698730469,0.38
0.56,0.3888893127441406,0.39
0.5800000000000001,0.39971923828125,0.4
0.59,0.4071159362792969,0.41
0.61,0.41893768310546875,0.42
0.63,0.4282493591308594,0.43
0.65,0.43805694580078125,0.44
0.67,0.451171875,0.45
0.6900000000000001,0.46123504638671875,0.46
0.7100000000000001,0.46988677978515625,0.47
0.73,0.4816436767578125,0.48
0.74,0.4879493713378906,0.49
0.76,0.49835968017578125,0.5
0.79,0.5105438232421875,0.51
0.81,0.5225486755371094,0.52
0.8200000000000001,0.5286979675292969,0.53
0.85,0.5407829284667969,0.54
0.87,0.550567626953125,0.55
0.89,0.5622825622558594,0.56
0.91,0.5709114074707031,0.57
0.93,0.5783348083496094,0.58
0.9500000000000001,0.5891036987304688,0.59
0.97,0.5989227294921875,0.6
1.0,0.6106452941894531,0.61
1.02,0.6201095581054688,0.62
1.04,0.6296920776367188,0.63
1.07,0.6411476135253906,0.64
1.09,0.6499519348144531,0.65
1.11,0.6597671508789062,0.66
1.1400000000000001,0.669952392578125,0.67
1.1600000000000001,0.67877197265625,0.68
1.19,0.6912498474121094,0.69
1.22,0.7009925842285156,0.7
1.24,0.7106742858886719,0.71
1.27,0.719757080078125,0.72
1.3,0.72930908203125,0.73
1.44,0.7400245666503906,0.74
1.9000000000000001,0.7503814697265625,0.75
2.11,0.7598686218261719,0.76
2.61,0.7698898315429688,0.77
2.2399999999999998,0.7801895141601562,0.78
2.6599999999999997,0.7897758483886719,0.79
2.4899999999999998,0.8001365661621094,0.8
2.5799999999999996,0.8101959228515625,0.81
2.77,0.8188438415527344,0.82
2.67,0.8303642272949219,0.83
2.79,0.8381767272949219,0.84
2.86,0.8491592407226562,0.85
2.81,0.8593978881835938,0.86
2.88,0.869842529296875,0.87
3.0,0.8788261413574219,0.88
3.02,0.8871002197265625,0.89
3.07,0.9006767272949219,0.9
3.05,0.9088668823242188,0.91
3.1399999999999997,0.9206886291503906,0.92
3.23,0.9303855895996094,0.93
3.19,0.9407501220703125,0.94
3.3899999999999997,0.9499244689941406,0.95
3.73,0.9598960876464844,0.96
3.65,0.9699974060058594,0.97
3.9899999999999998,0.9798660278320312,0.98
4.97,0.9900093078613281,0.99
