in,out,round2
0.01,0.009222984313964844,0.01
0.02,0.01848888397216797,0.02
0.03,0.027692794799804688,0.03
0.04,0.03692436218261719,0.04
0.05,0.046489715576171875,0.05
0.060000000000000005,0.05571937561035156,0.06
0.08,0.07417488098144531,0.07
0.09,0.08331680297851562,0.08
0.09999999999999999,0.09260368347167969,0.09
0.11,0.10181236267089844,0.1
0.12,0.11133766174316406,0.11
0.13,0.12061595916748047,0.12
0.14,0.12980365753173828,0.13
0.15000000000000002,0.1390399932861328,0.14
0.16,0.14824485778808594,0.15
0.17,0.15742874145507812,0.16
0.18000000000000002,0.1666851043701172,0.17
0.19,0.17628097534179688,0.18
0.2,0.18541526794433594,0.19
0.22,0.203948974609375,0.2
0.23,0.2130889892578125,0.21
0.24000000000000002,0.22222328186035156,0.22
0.25,0.23198986053466797,0.23
0.26,0.2411184310913086,0.24
0.27,0.25035572052001953,0.25
0.28,0.25962162017822266,0.26
0.29000000000000004,0.2687673568725586,0.27
0.3,0.27794933319091797,0.28
0.31,0.28723621368408203,0.29
0.32,0.29676055908203125,0.3
0.33,0.3059234619140625,0.31
0.35000000000000003,0.3243980407714844,0.32
0.36000000000000004,0.3336181640625,0.33
0.37,0.3427410125732422,0.34
0.38,0.3521690368652344,0.35
0.39,0.36168479919433594,0.36
0.4,0.37085819244384766,0.37
0.41000000000000003,0.380126953125,0.38
0.42000000000000004,0.3893270492553711,0.39
0.43,0.39850425720214844,0.4
0.44,0.40775299072265625,0.41
0.45,0.41742515563964844,0.42
0.46,0.42662811279296875,0.43
0.47000000000000003,0.43576622009277344,0.44
0.49,0.4541950225830078,0.45
0.5,0.4633350372314453,0.46
0.51,0.4728832244873047,0.47
0.52,0.4821033477783203,0.48
0.53,0.4914054870605469,0.49
0.54,0.5005159378051758,0.5
0.55,0.5099048614501953,0.51
0.56,0.5191402435302734,0.52
0.5700000000000001,0.5283432006835938,0.53
0.5800000000000001,0.5375328063964844,0.54
0.59,0.5471420288085938,0.55
0.6,0.5560455322265625,0.56
0.61,0.5654850006103516,0.57
0.63,0.5838069915771484,0.58
0.64,0.5931835174560547,0.59
0.65,0.6026411056518555,0.6
0.66,0.6119489669799805,0.61
0.67,0.6212081909179688,0.62
0.68,0.6304349899291992,0.63
0.6900000000000001,0.6396398544311523,0.64
0.7000000000000001,0.6487245559692383,0.65
0.7100000000000001,0.6582260131835938,0.66
0.72,0.6676673889160156,0.67
0.73,0.6768169403076172,0.68
0.74,0.6861534118652344,0.69
0.76,0.7042999267578125,0.7
0.77,0.7132148742675781,0.71
0.78,0.7224311828613281,0.72
0.79,0.7316274642944336,0.73
0.8,0.7402229309082031,0.74
0.81,0.7489213943481445,0.75
0.8200000000000001,0.7573156356811523,0.76
0.8400000000000001,0.7742128372192383,0.77
0.85,0.7826480865478516,0.78
0.86,0.7903327941894531,0.79
0.87,0.7980461120605469,0.8
0.89,0.8127307891845703,0.81
0.9,0.8191509246826172,0.82
0.91,0.8267955780029297,0.83
0.93,0.8408079147338867,0.84
0.9400000000000001,0.8479137420654297,0.85
0.9600000000000001,0.8600654602050781,0.86
0.98,0.8713035583496094,0.87
1.0,0.8819408416748047,0.88
1.01,0.8895626068115234,0.89
1.03,0.8988571166992188,0.9
1.06,0.9119396209716797,0.91
1.08,0.91839599609375,0.92
1.11,0.9297800064086914,0.93
1.1400000000000001,0.9403629302978516,0.94
1.18,0.9490795135498047,0.95
1.22,0.9592599868774414,0.96
1.28,0.9701004028320312,0.97
1.35,0.9798717498779297,0.98
1.48,0.9900856018066406,0.99
