in,out,round2
0.01,0.009181022644042969,0.01
0.02,0.018533706665039062,0.02
0.03,0.027907371520996094,0.03
0.04,0.03704357147216797,0.04
0.05,0.046088218688964844,0.05
0.06999999999999999,0.06429767608642578,0.06
0.08,0.07291793823242188,0.07
0.09,0.08100414276123047,0.08
0.09999999999999999,0.08871841430664062,0.09
0.11,0.09659194946289062,0.1
0.13,0.11274242401123047,0.11
0.14,0.12025642395019531,0.12
0.15000000000000002,0.12822723388671875,0.13
0.16,0.1363058090209961,0.14
0.18000000000000002,0.1510763168334961,0.15
0.19,0.1593017578125,0.16
0.2,0.16664981842041016,0.17
0.22,0.18154239654541016,0.18
0.23,0.1895160675048828,0.19
0.24000000000000002,0.196533203125,0.2
0.26,0.2114105224609375,0.21
0.27,0.2188882827758789,0.22
0.29000000000000004,0.23286056518554688,0.23
0.3,0.24061965942382812,0.24
0.31,0.24760913848876953,0.25
0.33,0.2615804672241211,0.26
0.34,0.26915645599365234,0.27
0.36000000000000004,0.28226375579833984,0.28
0.37,0.2896738052368164,0.29
0.39,0.3027029037475586,0.3
0.4,0.30971527099609375,0.31
0.41000000000000003,0.31680774688720703,0.32
0.43,0.32946205139160156,0.33
0.45,0.34326648712158203,0.34
0.46,0.34940147399902344,0.35
0.48000000000000004,0.3629159927368164,0.36
0.49,0.36905670166015625,0.37
0.51,0.38176822662353516,0.38
0.52,0.3885154724121094,0.39
0.54,0.3996896743774414,0.4
0.56,0.41280269622802734,0.41
0.5700000000000001,0.4181051254272461,0.42
0.59,0.4311676025390625,0.43
0.61,0.4415454864501953,0.44
0.62,0.44782447814941406,0.45
0.64,0.45886898040771484,0.46
0.68,0.4699249267578125,0.47
0.79,0.48041725158691406,0.48
0.89,0.4893026351928711,0.49
1.02,0.5007638931274414,0.5
1.1400000000000001,0.5102739334106445,0.51
1.26,0.5203332901000977,0.52
1.2,0.5291585922241211,0.53
1.34,0.5413780212402344,0.54
1.35,0.5509719848632812,0.55
1.3800000000000001,0.5624876022338867,0.56
1.3900000000000001,0.5700016021728516,0.57
1.42,0.5827102661132812,0.58
1.4100000000000001,0.5893049240112305,0.59
1.46,0.602264404296875,0.6
1.45,0.6099119186401367,0.61
1.48,0.620391845703125,0.62
1.49,0.6295261383056641,0.63
1.55,0.6417741775512695,0.64
1.53,0.6475944519042969,0.65
1.59,0.6590738296508789,0.66
1.6,0.6707019805908203,0.67
1.61,0.6799354553222656,0.68
1.6700000000000002,0.6905641555786133,0.69
1.71,0.7003107070922852,0.7
1.7,0.7081127166748047,0.71
1.74,0.7187328338623047,0.72
1.78,0.7287101745605469,0.73
1.8800000000000001,0.7406044006347656,0.74
1.8900000000000001,0.7495994567871094,0.75
1.96,0.7577972412109375,0.76
1.98,0.7706737518310547,0.77
2.05,0.7787132263183594,0.78
2.13,0.7900047302246094,0.79
2.15,0.7989301681518555,0.8
2.2399999999999998,0.8102912902832031,0.81
2.31,0.8203210830688477,0.82
2.3899999999999997,0.8309030532836914,0.83
2.4699999999999998,0.8407421112060547,0.84
2.55,0.8498926162719727,0.85
2.63,0.8593254089355469,0.86
2.71,0.869049072265625,0.87
2.8,0.8795461654663086,0.88
2.8899999999999997,0.8902063369750977,0.89
2.9899999999999998,0.8998908996582031,0.9
3.0999999999999996,0.9100666046142578,0.91
3.21,0.9197416305541992,0.92
3.32,0.9295158386230469,0.93
3.44,0.9398860931396484,0.94
3.57,0.9496850967407227,0.95
3.7199999999999998,0.9598217010498047,0.96
3.9,0.9699420928955078,0.97
4.119999999999997,0.9801340103149414,0.98
4.3999999999999915,0.9900083541870117,0.99
