,in,out,round2
0,0.011000000000000001,0.0107421875,0.01
1,0.02,0.017608642578125,0.02
2,0.03,0.028167724609375,0.03
3,0.04,0.03692626953125,0.04
4,0.05,0.0468292236328125,0.05
5,0.06000000000000001,0.05523681640625,0.06
6,0.08,0.074432373046875,0.07
7,0.09,0.08380126953125,0.08
8,0.1,0.09283447265625,0.09
9,0.11,0.1021728515625,0.1
10,0.12,0.110198974609375,0.11
11,0.13,0.1203460693359375,0.12
12,0.14,0.1290283203125,0.13
13,0.15000000000000002,0.138763427734375,0.14
14,0.16,0.148345947265625,0.15
15,0.17,0.1571502685546875,0.16
16,0.18000000000000002,0.1672210693359375,0.17
17,0.19,0.176025390625,0.18
18,0.21,0.1939697265625,0.19
19,0.22,0.203460693359375,0.2
20,0.23,0.212249755859375,0.21
21,0.24,0.22216796875,0.22
22,0.25,0.23046875,0.23
23,0.26,0.240631103515625,0.24
24,0.27,0.25,0.25
25,0.28,0.259429931640625,0.26
26,0.29000000000000004,0.268646240234375,0.27
27,0.3,0.27716064453125,0.28
28,0.31,0.2872772216796875,0.29
29,0.32,0.295379638671875,0.3
30,0.34,0.314300537109375,0.31
31,0.35000000000000003,0.3239898681640625,0.32
32,0.36000000000000004,0.33306884765625,0.33
33,0.37,0.341888427734375,0.34
34,0.38,0.3515625,0.35
35,0.39,0.3604583740234375,0.36
36,0.4,0.370635986328125,0.37
37,0.41,0.37890625,0.38
38,0.42,0.388885498046875,0.39
39,0.43,0.397369384765625,0.4
40,0.44,0.4069671630859375,0.41
41,0.45,0.415924072265625,0.42
42,0.46,0.4261474609375,0.43
43,0.48,0.443695068359375,0.44
44,0.49,0.4543914794921875,0.45
45,0.5,0.462493896484375,0.46
46,0.51,0.473052978515625,0.47
47,0.52,0.48052978515625,0.48
48,0.53,0.49072265625,0.49
49,0.54,0.499420166015625,0.5
50,0.55,0.509063720703125,0.51
51,0.56,0.5176849365234375,0.52
52,0.5700000000000001,0.52703857421875,0.53
53,0.5800000000000001,0.536956787109375,0.54
54,0.59,0.546234130859375,0.55
55,0.61,0.5641937255859375,0.56
56,0.62,0.5740509033203125,0.57
57,0.63,0.5826416015625,0.58
58,0.64,0.59295654296875,0.59
59,0.65,0.6009674072265625,0.6
60,0.66,0.6113128662109375,0.61
61,0.67,0.619049072265625,0.62
62,0.68,0.629974365234375,0.63
63,0.6900000000000001,0.63909912109375,0.64
64,0.7000000000000001,0.647705078125,0.65
65,0.7100000000000001,0.656768798828125,0.66
66,0.72,0.666473388671875,0.67
67,0.74,0.6844940185546875,0.68
68,0.75,0.6943511962890625,0.69
69,0.76,0.702484130859375,0.7
70,0.77,0.71148681640625,0.71
71,0.78,0.7203216552734375,0.72
72,0.79,0.7305450439453125,0.73
73,0.8,0.7391357421875,0.74
74,0.81,0.747802734375,0.75
75,0.8200000000000001,0.756439208984375,0.76
76,0.8400000000000001,0.7731781005859375,0.77
77,0.85,0.780609130859375,0.78
78,0.86,0.788330078125,0.79
79,0.88,0.804290771484375,0.8
80,0.89,0.813323974609375,0.81
81,0.9,0.818817138671875,0.82
82,0.92,0.83416748046875,0.83
83,0.93,0.840728759765625,0.84
84,0.95,0.8538818359375,0.85
85,0.96,0.8603973388671875,0.86
86,0.98,0.870880126953125,0.87
87,1.0,0.882171630859375,0.88
88,1.02,0.8906402587890625,0.89
89,1.04,0.904144287109375,0.9
90,1.06,0.9113922119140624,0.91
91,1.08,0.918212890625,0.92
92,1.12,0.931304931640625,0.93
93,1.13,0.938507080078125,0.94
94,1.19,0.9503326416015624,0.95
95,1.23,0.9593505859375,0.96
96,1.28,0.97076416015625,0.97
97,1.37,0.979705810546875,0.98
98,1.49,0.98980712890625,0.99
